6.244695	0.000048
6.180283	0.000526
6.088412	0.002511
5.970142	0.007911
5.826836	0.019200
5.660088	0.038565
5.471670	0.066525
5.263498	0.100445
5.037592	0.133808
4.796050	0.157186
4.541031	0.161343
4.274735	0.141637
3.999389	0.101667
3.717241	0.053730
3.430553	0.014898
2.852632	0.014898
2.565944	0.053730
2.283797	0.101667
2.008451	0.141637
1.742154	0.161343
1.487135	0.157186
1.245594	0.133808
1.019687	0.100445
0.811515	0.066525
0.623098	0.038565
0.456350	0.019200
0.313044	0.007911
0.194773	0.002511
0.102902	0.000526
0.038490	0.000048
